ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence
Christ College ATM,01-01-2011,74,25,49,287700,148200,139500,Saturday,C,H,WHH
Christ College ATM,02-01-2011,80,24,56,300000,95600,204400,Sunday,NH,H,HHW
Christ College ATM,03-01-2011,108,46,62,522800,210900,311900,Monday,NH,W,WWW
Christ College ATM,04-01-2011,143,41,102,737400,238000,499400,Tuesday,NH,W,WWW
Christ College ATM,05-01-2011,95,41,54,387300,213600,173700,Wednesday,NH,W,WWW
Christ College ATM,06-01-2011,116,50,66,430500,168700,261800,Thursday,NH,W,WWW
Christ College ATM,07-01-2011,85,46,39,345800,212300,133500,Friday,NH,W,WWW
Christ College ATM,08-01-2011,86,45,41,366500,195500,171000,Saturday,NH,H,WHH
Christ College ATM,09-01-2011,100,40,60,363800,212200,151600,Sunday,NH,H,HHW
Christ College ATM,10-01-2011,116,53,63,545400,315800,229600,Monday,NH,W,HWW
Christ College ATM,11-01-2011,92,36,56,343700,165600,178100,Tuesday,NH,W,WWW
Christ College ATM,12-01-2011,74,37,37,301300,177100,124200,Wednesday,NH,W,WWW
Christ College ATM,13-01-2011,143,52,91,510300,232700,277600,Thursday,NH,W,WWW
Christ College ATM,14-01-2011,91,52,39,373000,241300,131700,Friday,NH,W,WWH
Christ College ATM,15-01-2011,53,30,23,206800,133800,73000,Saturday,H,H,WHH
Christ College ATM,16-01-2011,36,15,21,95200,46100,49100,Sunday,H,H,HHH
Christ College ATM,17-01-2011,46,25,21,126800,69300,57500,Monday,H,H,HHW
Christ College ATM,18-01-2011,82,45,37,380000,216900,163100,Tuesday,NH,W,HWW
Christ College ATM,19-01-2011,124,39,85,446800,121100,325700,Wednesday,NH,W,WWW
Christ College ATM,20-01-2011,140,45,95,571300,244000,327300,Thursday,NH,W,WWW
Christ College ATM,21-01-2011,90,44,46,386800,235800,151000,Friday,NH,W,WWH
Christ College ATM,22-01-2011,95,35,60,465300,240700,224600,Saturday,NH,H,WHH
Christ College ATM,23-01-2011,45,29,16,212500,174200,38300,Sunday,NH,H,HHW
Christ College ATM,24-01-2011,100,43,57,410800,208500,202300,Monday,NH,W,HWW
Christ College ATM,25-01-2011,89,47,42,325900,194000,131900,Tuesday,NH,W,WHW
Christ College ATM,26-01-2011,69,26,43,258400,101200,157200,Wednesday,N,H,WHW
Christ College ATM,27-01-2011,96,41,55,336300,227800,108500,Thursday,NH,W,HWW
Christ College ATM,28-01-2011,77,36,41,254500,169400,85100,Friday,NH,W,WWH
Christ College ATM,29-01-2011,87,50,37,463400,319200,144200,Saturday,NH,H,WHH
Christ College ATM,30-01-2011,75,27,48,277200,127500,149700,Sunday,NH,H,HHW
Christ College ATM,31-01-2011,91,39,52,369100,179000,190100,Monday,NH,W,HWW
Christ College ATM,01-02-2011,97,31,66,432000,158400,273600,Tuesday,NH,W,WWW
Christ College ATM,02-02-2011,133,55,78,714600,329400,385200,Wednesday,NH,W,WWW
Christ College ATM,03-02-2011,80,36,44,359800,172400,187400,Thursday,NH,W,WWW
Christ College ATM,04-02-2011,78,38,40,382500,220300,162200,Friday,NH,W,WWH
Christ College ATM,05-02-2011,100,46,54,429800,230700,199100,Saturday,NH,H,WHH
Christ College ATM,06-02-2011,92,28,64,292300,78800,213500,Sunday,NH,H,HHW
Christ College ATM,07-02-2011,110,48,62,430000,190600,239400,Monday,NH,W,HWW
Christ College ATM,08-02-2011,93,45,48,343000,175500,167500,Tuesday,NH,W,WWW
Christ College ATM,09-02-2011,81,33,48,381600,153900,227700,Wednesday,NH,W,WWW
Christ College ATM,10-02-2011,91,44,47,348300,236900,111400,Thursday,NH,W,WWW
Christ College ATM,11-02-2011,78,30,48,413300,153600,259700,Friday,NH,W,WWW
Christ College ATM,12-02-2011,99,49,50,452900,259800,193100,Saturday,NH,H,WHH
Christ College ATM,13-02-2011,40,19,21,119000,56500,62500,Sunday,NH,H,HHW
Christ College ATM,14-02-2011,38,17,21,173100,93500,79600,Monday,NH,W,HWW
Christ College ATM,15-02-2011,93,59,34,357700,247900,109800,Tuesday,NH,W,WWH
Christ College ATM,16-02-2011,55,22,33,147100,64000,83100,Wednesday,M,H,WHW
Christ College ATM,17-02-2011,77,26,51,292600,113700,178900,Thursday,NH,W,HWW
Christ College ATM,18-02-2011,66,24,42,200600,59800,140800,Friday,NH,W,WWH
Christ College ATM,19-02-2011,74,41,33,399800,225900,173900,Saturday,NH,H,WHH
Christ College ATM,20-02-2011,62,16,46,169400,61600,107800,Sunday,NH,H,HHW
Christ College ATM,21-02-2011,61,32,29,143200,103000,40200,Monday,NH,W,HWW
Christ College ATM,22-02-2011,100,47,53,370800,200200,170600,Tuesday,NH,W,WWW
Christ College ATM,23-02-2011,63,31,32,265700,165300,100400,Wednesday,NH,W,WWW
Christ College ATM,24-02-2011,76,33,43,255600,113400,142200,Thursday,NH,W,WWW
Christ College ATM,25-02-2011,70,31,39,200500,100400,100100,Friday,NH,W,WWH
Christ College ATM,26-02-2011,91,37,54,375800,197300,178500,Saturday,NH,H,WHH
Christ College ATM,27-02-2011,67,26,41,283700,130200,153500,Sunday,NH,H,HHW
